"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genename","symbol","entrez"
"ENSG00000188290",108.922127976716,2.0570638345631,0.196905312993842,10.4469696794187,1.51281875407864e-25,1.30538189681563e-24,"hes family bHLH transcription factor 4","HES4","57801"
"ENSG00000069812",3.15810817128513,2.95472164660346,1.29792491777337,2.2764965878553,0.0228163045971854,0.0419494382676296,"hes family bHLH transcription factor 2","HES2","54626"
"ENSG00000162490",12.974640930305,3.04770708206716,0.655648990796238,4.64838217529466,3.3454863244688e-06,1.01976788934894e-05,"dorsal inhibitory axon guidance protein","DRAXIN","374946"
"ENSG00000158825",13.8286362530918,-4.0443674573447,0.759755825117114,-5.3232463952761,1.01931526652383e-07,3.54391799906303e-07,"cytidine deaminase","CDA","978"
"ENSG00000020633",8.52787075188608,2.85925576503253,0.789746721514231,3.62047183880713,0.000294066257783626,0.0007237722957941,"RUNX family transcription factor 3","RUNX3","864"
"ENSG00000127423",20.8088303974424,-2.01706738833205,0.455301337769372,-4.43018111524588,9.41539788607289e-06,2.73588592359902e-05,"aurora kinase A and ninein interacting protein","AUNIP","79000"
"ENSG00000158008",82.7351085587211,-2.48788354918401,0.235884138857478,-10.5470573868775,5.24129428182171e-26,4.58162485916301e-25,"exostosin like glycosyltransferase 1","EXTL1","2134"
"ENSG00000162520",248.715147599884,-3.52266962028054,0.164601279604194,-21.4012286462856,1.30133331486658e-101,5.84727146173893e-100,"syncoilin, intermediate filament protein","SYNC","81493"
"ENSG00000092853",122.202137432252,-2.42411269643607,0.195217558876448,-12.4174931311905,2.10040347407548e-35,2.49241114339166e-34,"claspin","CLSPN","63967"
"ENSG00000134690",309.413921089907,-3.19981705199659,0.139249076699005,-22.9790899002741,7.54517751981708e-117,4.16482495457169e-115,"cell division cycle associated 8","CDCA8","55143"
"ENSG00000163909",6.72067942828981,3.59781275780534,1.01124751179621,3.55779640081862,0.000373978999649163,0.000908322758211826,"hes related family bHLH transcription factor with YRPW motif like","HEYL","26508"
"ENSG00000117399",548.054729960495,-3.23340373493714,0.114651721709683,-28.2019640588097,5.53209469869506e-175,6.96854800592887e-173,"cell division cycle 20","CDC20","991"
"ENSG00000142945",300.535541619319,-2.95302462701478,0.138415331944888,-21.3345197061736,5.42992871597226e-101,2.43241001264435e-99,"kinesin family member 2C","KIF2C","11004"
"ENSG00000162415",21.4798159246607,2.82989198170781,0.486504417846006,5.81678578426303,5.99899389952997e-09,2.29823686226339e-08,"zinc finger SWIM-type containing 5","ZSWIM5","57643"
"ENSG00000085999",49.8295652262928,-2.88281485182448,0.320875977054882,-8.98420280098252,2.60616723303189e-19,1.74510189370395e-18,"RAD54 like","RAD54L","8438"
"ENSG00000123080",131.552292323887,-2.7571401890218,0.201695674815989,-13.669803239644,1.53810519595416e-42,2.21806207220865e-41,"cyclin dependent kinase inhibitor 2C","CDKN2C","1031"
"ENSG00000085832",605.654170098824,-2.08679697721731,0.0858107006219425,-24.3186101744017,1.24600769059928e-130,8.82868333848664e-129,"epidermal growth factor receptor pathway substrate 15","EPS15","2060"
"ENSG00000085840",62.6028396919314,-2.54031934737213,0.268609359551668,-9.45730019092459,3.15996551717192e-21,2.32277166045286e-20,"origin recognition complex subunit 1","ORC1","4998"
"ENSG00000162599",31.0763295811351,-2.06564101994385,0.363228524589481,-5.68689097938667,1.29372987045505e-08,4.84918383285007e-08,"nuclear factor I A","NFIA","4774"
"ENSG00000024526",333.252157523288,-2.83279348073094,0.125335213693655,-22.6017365531036,4.16660572204376e-113,2.20098333804591e-111,"DEP domain containing 1","DEPDC1","55635"
"ENSG00000117069",23.9649851762818,-2.25416772623379,0.429801474194519,-5.24467192779706,1.56560655385756e-07,5.36602543970994e-07,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 5","ST6GALNAC5","81849"
"ENSG00000171517",75.7468133455321,3.35502729994934,0.293410825278571,11.4345723160146,2.8091747954483e-30,2.80688936510624e-29,"lysophosphatidic acid receptor 3","LPAR3","23566"
"ENSG00000137975",33.5214982464307,3.78953533144023,0.473173305309944,8.00876822279304,1.1586303329033e-15,6.58538135222865e-15,"chloride channel accessory 2","CLCA2","9635"
"ENSG00000117228",682.433310695606,-2.205411880696,0.098099884557328,-22.4812892558216,6.32748903800198e-112,3.27208889270432e-110,"guanylate binding protein 1","GBP1","2633"
"ENSG00000162645",89.9913078872337,-2.32236783016528,0.220774910601189,-10.519165533082,7.04951468140321e-26,6.13678366063323e-25,"guanylate binding protein 2","GBP2","2634"
"ENSG00000137962",747.210466132633,-2.18043253928494,0.0923899176710919,-23.6003299304507,3.8241665875177e-123,2.37808300282008e-121,"Rho GTPase activating protein 29","ARHGAP29","9411"
"ENSG00000117519",4483.62709360346,-2.42271923981601,0.0600016218982933,-40.377562525271,0,0,"calponin 3","CNN3","1266"
"ENSG00000117598",1.68039679429589,-4.26194180393955,1.68783675672881,-2.525091237022,0.0115668255394433,0.0225863844369134,"phospholipid phosphatase related 5","PLPPR5","163404"
"ENSG00000134222",215.560012132067,-2.08611319809046,0.159782401950156,-13.0559634392104,5.87619075681254e-39,7.66400879415073e-38,"proline and serine rich coiled-coil 1","PSRC1","84722"
"ENSG00000173947",2.17667202894805,4.48138074538501,1.54716244388048,2.896515981958,0.00377331422131365,0.00799124946022712,"ciliary microtubule associated protein 3","CIMAP3","128344"
"ENSG00000184599",4.87392111876866,-2.38597269514712,0.928834723502435,-2.56878068269254,0.0102057025183333,0.0201165766637952,"TAFA chemokine like family member 3","TAFA3","284467"
"ENSG00000183508",2053.88135557663,3.20195534795427,0.0724172014757464,44.2153974843485,0,0,"terminal nucleotidyltransferase 5C","TENT5C","54855"
"ENSG00000092621",1283.19734617957,-2.32800498477343,0.152523694565332,-15.2632349446286,1.3441591558731e-52,2.43668113644006e-51,"phosphoglycerate dehydrogenase","PHGDH","26227"
"ENSG00000188610",16.596191894567,-2.22948970010646,0.50220793985886,-4.43937565131494,9.02202235442888e-06,2.62572206673722e-05,"family with sequence similarity 72 member B","FAM72B","653820"
"ENSG00000263513",5.86998829636057,-2.67717724049597,0.883782872105963,-3.02922507891167,0.00245181942226282,0.00533750585602799,"family with sequence similarity 72 member C","FAM72C","554282"
"ENSG00000264343",11.4934459118352,-2.36668231985497,0.599115029184405,-3.95029702906438,7.80542662718924e-05,0.00020498285394069,"notch 2 N-terminal like A","NOTCH2NLA","388677"
"ENSG00000150337",4.83679464027018,2.58755584683912,0.975832965117354,2.65163807673574,0.00801023534701385,0.0160357034154157,"Fc gamma receptor Ia","FCGR1A","2209"
"ENSG00000143416",142.598013627199,-2.12201889023951,0.170228850999147,-12.4656829778528,1.14883277114038e-35,1.37208244579149e-34,"selenium binding protein 1","SELENBP1","8991"
"ENSG00000173207",201.547644874983,-2.53293182589029,0.153231986960321,-16.5300462138247,2.22972629065601e-61,4.91206368784578e-60,"CDC28 protein kinase regulatory subunit 1B","CKS1B","1163"
"ENSG00000183856",323.429239491754,-2.81373707390766,0.130539001605605,-21.5547617133517,4.77722254428147e-103,2.1933553226673e-101,"IQ motif containing GTPase activating protein 3","IQGAP3","128239"
"ENSG00000158473",3.82103427558311,5.29974131910723,1.39957325214216,3.78668377021035,0.000152671195107866,0.000388411543845975,"CD1d molecule","CD1D","912"
"ENSG00000198929",11.0483398602251,2.60399870089878,0.659841301722872,3.94640149699576,7.93345381661387e-05,0.000208159591150534,"nitric oxide synthase 1 adaptor protein","NOS1AP","9722"
"ENSG00000239887",25.6824110757332,2.75849472855796,0.465481538003493,5.92610985258293,3.10195119913369e-09,1.2126407632051e-08,"chromosome 1 open reading frame 226","C1orf226","400793"
"ENSG00000143248",679.495343922114,2.03805120067571,0.0845080260036236,24.1166584649406,1.67176163516728e-128,1.15132817659324e-126,"regulator of G protein signaling 5","RGS5","8490"
"ENSG00000143228",132.19342759075,-2.80268474739792,0.193869098106766,-14.4565832036545,2.27830156228835e-47,3.66968398087494e-46,"NUF2 component of NDC80 kinetochore complex","NUF2","83540"
"ENSG00000120337",90.8357060431566,2.24646743228525,0.242212844304509,9.27476591398679,1.78009487469244e-20,1.26190660236735e-19,"TNF superfamily member 18","TNFSF18","8995"
"ENSG00000116183",15.6925593685169,-2.6088366857597,0.546969415246377,-4.76962077410594,1.84573056656173e-06,5.75346385152003e-06,"pappalysin 2","PAPPA2","60676"
"ENSG00000198756",84.8395419009338,-2.18013969250012,0.228581239759889,-9.53770175885924,1.46032588660208e-21,1.09305652192694e-20,"collagen beta(1-O)galactosyltransferase 2","COLGALT2","23127"
"ENSG00000143341",2279.33849385387,2.05720946158248,0.0629925114453727,32.6580003619397,6.16939827396847e-234,1.49056707806143e-231,"hemicentin 1","HMCN1","83872"
"ENSG00000116690",7.8297291410748,2.2294210946568,0.749988242127964,2.97260806160267,0.00295281246507289,0.00635400060012328,"proteoglycan 4","PRG4","10216"
"ENSG00000073756",1357.62706625186,6.33774730166499,0.339984261408964,18.6412961452983,1.48596319335422e-77,4.42426778659687e-76,"prostaglandin-endoperoxide synthase 2","PTGS2","5743"
"ENSG00000116711",252.499482827766,2.93482473266367,0.157723142742141,18.6074451829924,2.79637316027272e-77,8.2756922964055e-76,"phospholipase A2 group IVA","PLA2G4A","5321"
"ENSG00000162670",4.97106555231261,2.26552453109403,0.933562355296982,2.42675223378446,0.0152346561107688,0.0290577208485505,"BMP/retinoic acid inducible neural specific 3","BRINP3","339479"
"ENSG00000150681",15.7264239200752,3.02178291957628,0.590888123288136,5.11396794161449,3.15460918509632e-07,1.05785279112513e-06,"regulator of G protein signaling 18","RGS18","64407"
"ENSG00000162630",36.2936814473686,-2.75263394190459,0.365332252292206,-7.53460425307026,4.89818041933399e-14,2.57911336263467e-13,"beta-1,3-galactosyltransferase 2","B3GALT2","8707"
"ENSG00000066279",593.333577786577,-3.10048884483019,0.10536440355975,-29.4263407761993,2.52835481394978e-190,3.9224098155781e-188,"assembly factor for spindle microtubules","ASPM","259266"
"ENSG00000116833",15.902660471549,2.56328056527686,0.550119330514992,4.6594991724382,3.16979670722321e-06,9.67815700664091e-06,"nuclear receptor subfamily 5 group A member 2","NR5A2","2494"
"ENSG00000118193",212.976344881228,-2.45568331593476,0.146839767015953,-16.7235576972004,8.82877238707017e-63,1.99568170921227e-61,"kinesin family member 14","KIF14","9928"
"ENSG00000116852",50.116200530578,2.3119114405793,0.302770578060757,7.63585238495458,2.24331235265243e-14,1.20007032498699e-13,"kinesin family member 21B","KIF21B","23046"
"ENSG00000159176",5692.46278267679,-2.31373756503587,0.0575533663106258,-40.2016026751279,0,0,"cysteine and glycine rich protein 1","CSRP1","1465"
"ENSG00000163431",648.670543428421,-2.82926158026152,0.232844473053942,-12.1508642363441,5.67623762787163e-34,6.4351069353517e-33,"leiomodin 1","LMOD1","25802"
"ENSG00000162892",25.2789285099654,7.0520980863162,1.22109331214002,5.77523274937694,7.68467833127511e-09,2.92275585151826e-08,"interleukin 24","IL24","11009"
"ENSG00000162894",6.07172598409682,2.28135790156555,0.834049574840043,2.73527853785319,0.00623275107320779,0.0127209922887324,"Fc mu receptor","FCMR","9214"
